GeneID	AS_1ngS1_3	AS_1ngS1_4	AS_1ngS1_8	AS_1ngS1_7	AS_1ngS1_6	AS_1ngS1_2	AS_1ngS1_5	AS_1ngS1_1	AS_1ngS2_3	AS_1ngS2_1	AS_1ngS2_4	AS_1ngS2_2	AS_1ngS2_5	AS_1ngS2_7	AS_1ngS2_8	AS_1ngS2_6
ENSG00000127481.14	1	1	0	0	0	1	0	0	0	0	0	2	1	0	0	0
ENSG00000127463.13	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0
ENSG00000053372.4	3	4	2	3	7	5	1	6	4	4	3	10	2	4	2	4
ENSG00000053371.12	5	6	6	8	13	2	5	2	5	1	3	11	8	4	5	8
ENSG00000077549.17	7	7	7	13	11	4	10	7	10	7	7	10	9	3	4	8
ENSG00000173436.13	97	53	61	52	65	77	54	56	72	59	59	57	38	60	52	78
ENSG00000158747.13	1	0	0	2	1	1	1	2	1	4	0	2	0	0	0	2
ENSG00000158825.5	22	12	10	16	28	15	20	15	14	11	22	16	13	9	12	13
ENSG00000127483.17	5	2	10	10	10	11	8	5	9	10	14	21	3	8	8	13
ENSG00000075151.19	1	3	3	2	2	5	0	1	1	3	2	5	2	0	4	3
ENSG00000117298.14	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1
ENSG00000090686.15	2	4	3	1	3	1	0	1	4	1	1	8	2	2	1	7
ENSG00000070831.15	15	8	14	6	13	12	12	14	21	5	8	28	3	13	7	7
ENSG00000004487.15	1	2	0	3	1	2	1	2	3	1	4	7	1	2	1	2
ENSG00000125944.18	8	5	7	1	7	5	7	2	4	2	8	20	7	5	7	9
ENSG00000117318.8	93	83	79	50	86	65	56	56	79	76	78	80	61	64	57	82
ENSG00000142676.12	162	134	139	153	196	157	114	123	127	107	109	116	107	112	99	137
ENSG00000011007.12	2	2	3	1	1	3	3	3	0	2	0	3	2	1	2	2
ENSG00000236810.5	1	0	0	0	0	1	0	1	2	0	1	1	0	0	0	0
ENSG00000057757.9	0	5	2	1	1	1	0	0	0	1	0	0	0	3	0	1
ENSG00000011009.10	6	1	4	2	3	4	1	4	3	0	1	7	2	2	6	3
ENSG00000117305.14	3	0	1	3	3	2	2	4	2	1	2	2	1	1	1	0
ENSG00000179163.11	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0
ENSG00000189266.11	3	3	4	4	5	5	5	1	3	2	4	3	5	4	2	6
ENSG00000188529.14	8	6	5	4	8	8	5	9	6	5	5	8	9	1	4	8
ENSG00000001461.16	0	0	4	0	0	1	2	0	0	1	0	2	0	1	0	1
ENSG00000117602.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000133226.16	18	16	10	4	17	12	19	8	25	10	13	17	4	9	14	13
ENSG00000169504.14	2	4	4	2	4	2	2	2	3	0	2	4	1	4	2	5
ENSG00000117614.9	2	5	5	5	6	3	5	6	6	2	6	0	3	3	4	3
ENSG00000117616.17	2	1	2	1	0	0	1	1	0	2	1	2	0	0	0	1
ENSG00000183726.10	14	20	13	13	15	11	18	12	14	13	16	18	7	20	12	19
ENSG00000157978.11	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1
ENSG00000117640.17	1	0	0	0	1	3	0	1	1	1	0	0	0	1	1	1
ENSG00000127423.10	0	1	2	0	0	0	2	0	0	0	0	0	0	1	0	1
ENSG00000117632.20	58	37	38	23	49	40	28	38	35	43	24	49	20	30	25	45
ENSG00000175087.9	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0
ENSG00000142684.7	15	6	11	14	13	11	5	7	11	5	9	11	13	9	10	7
ENSG00000142669.13	31	24	19	14	26	13	15	16	24	19	29	17	12	6	19	24
ENSG00000117682.16	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000198830.10	30	33	27	23	28	27	16	22	28	19	15	20	19	19	41	29
ENSG00000117676.13	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ENSG00000060642.10	0	1	0	1	1	1	0	0	2	1	1	1	1	0	0	1
ENSG00000175793.11	4	8	9	5	10	6	7	8	9	7	7	8	8	4	3	11
ENSG00000090273.13	4	15	5	11	9	6	4	5	8	8	4	9	2	7	6	8
ENSG00000225159.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186501.14	1	0	1	0	3	2	2	0	1	1	0	2	0	0	1	0
ENSG00000142733.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158195.10	8	4	5	4	7	4	3	5	4	7	6	13	4	4	6	5
ENSG00000126709.14	13	5	7	13	10	7	6	6	10	3	6	12	6	2	7	6
ENSG00000009780.15	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000117748.9	6	6	5	5	8	6	7	5	4	6	6	7	3	4	5	3
ENSG00000126698.10	17	12	20	18	25	15	20	15	22	24	16	28	11	14	17	22
ENSG00000130770.17	145	138	105	117	162	134	87	117	140	112	120	98	89	91	113	127
ENSG00000204138.12	0	2	2	1	0	2	0	1	0	1	1	4	0	1	2	2
ENSG00000242125.3	3	6	2	1	1	3	1	1	2	0	2	3	1	2	3	1
ENSG00000180198.15	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	0
ENSG00000180098.9	3	1	2	2	2	1	4	2	4	3	1	1	2	0	1	1
ENSG00000197989.13	3	3	2	0	1	3	1	1	3	2	0	1	1	1	0	0
ENSG00000120656.11	5	3	3	0	3	5	1	1	0	2	5	1	2	0	3	5
ENSG00000198492.14	3	0	3	1	3	2	2	2	4	0	0	9	2	0	1	1
ENSG00000159023.18	0	1	0	0	1	1	0	2	1	0	2	4	1	2	1	0
ENSG00000116350.15	1	1	2	1	1	2	0	0	0	0	1	2	1	1	0	1
ENSG00000116353.15	0	0	0	0	2	1	1	1	1	2	0	1	1	0	0	1
ENSG00000134644.15	0	2	1	1	1	4	1	0	0	0	0	2	1	0	0	2
ENSG00000060688.12	4	2	5	3	4	5	3	3	4	6	4	5	2	3	1	2
ENSG00000121766.14	10	1	4	3	3	3	11	1	4	7	6	11	2	7	4	6
ENSG00000121769.7	0	1	0	1	0	0	1	1	1	0	0	0	0	1	0	1
ENSG00000168528.11	1	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0
ENSG00000162517.12	1	2	1	2	0	1	0	1	1	2	2	1	2	1	3	3
ENSG00000184007.17	7	3	9	7	9	5	8	8	8	10	11	23	5	8	7	13
ENSG00000121774.17	6	3	1	4	6	2	2	0	2	4	2	10	4	4	2	1
ENSG00000025800.13	0	2	0	0	0	0	1	0	1	0	2	2	0	0	0	1
ENSG00000084652.15	1	0	0	0	0	0	2	0	1	0	1	1	0	1	0	2
ENSG00000160055.19	0	0	0	1	0	0	0	0	1	0	0	3	0	1	1	0
ENSG00000084623.11	14	14	18	17	19	24	14	11	16	16	9	16	8	14	14	9
ENSG00000116478.11	4	5	1	2	6	7	6	8	2	0	3	2	1	3	4	2
ENSG00000176261.15	4	5	10	2	11	6	5	2	4	3	6	5	1	3	4	11
ENSG00000162521.18	8	5	5	6	7	9	2	7	5	8	10	9	4	4	2	8
ENSG00000162520.14	0	0	0	0	0	1	0	1	0	1	0	4	0	1	1	1
ENSG00000162522.10	2	0	1	0	1	0	2	0	0	2	1	1	1	1	1	0
ENSG00000134684.10	1	1	0	0	0	1	1	0	0	0	2	3	2	3	0	1
ENSG00000116497.17	1	1	0	1	0	1	1	0	0	1	0	2	0	0	1	1
ENSG00000121900.18	1	1	1	1	2	1	0	1	2	1	1	0	1	1	0	2
