GeneID	AS_1ngS1_3	AS_1ngS1_4	AS_1ngS1_8	AS_1ngS1_7	AS_1ngS1_6	AS_1ngS1_2	AS_1ngS1_5	AS_1ngS1_1	AS_1ngS2_3	AS_1ngS2_1	AS_1ngS2_4	AS_1ngS2_2	AS_1ngS2_5	AS_1ngS2_7	AS_1ngS2_8	AS_1ngS2_6
ENSG00000166902.4	9	9	3	3	5	4	2	9	12	7	7	12	3	3	7	9
ENSG00000110104.11	0	0	1	0	0	0	1	1	0	1	0	2	0	0	1	1
ENSG00000110107.8	0	1	0	0	2	0	1	1	1	0	0	1	0	0	1	0
ENSG00000256713.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000167986.13	1	3	3	1	2	1	2	0	0	0	4	2	1	1	1	2
ENSG00000149476.14	0	2	1	1	1	0	2	1	1	1	2	3	1	0	1	0
ENSG00000162144.9	0	0	0	1	0	1	0	2	0	0	0	1	1	0	0	0
ENSG00000149483.11	5	1	5	3	4	9	3	6	3	3	4	3	2	3	1	3
ENSG00000149532.15	0	1	0	0	0	1	0	1	1	2	0	1	0	0	0	1
ENSG00000167985.6	8	5	6	6	6	3	3	3	5	4	3	8	2	2	2	6
ENSG00000243742.5	1	0	4	0	4	0	1	3	1	2	2	3	1	1	0	1
ENSG00000134825.13	78	78	78	66	81	76	54	67	66	59	56	62	46	52	53	56
ENSG00000168496.3	6	4	4	3	6	11	6	7	6	3	10	8	1	5	6	12
ENSG00000149485.16	11	7	8	8	11	6	8	6	8	14	8	23	5	9	6	7
ENSG00000134824.13	1	0	3	1	0	0	1	0	0	1	1	2	4	0	0	0
ENSG00000167996.15	255	242	200	184	281	204	194	191	195	184	183	263	160	175	180	227
ENSG00000167995.15	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000149503.12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000162174.12	1	0	1	2	2	1	2	1	1	0	1	1	1	2	3	5
ENSG00000124942.13	1	1	1	2	6	1	4	2	0	2	0	4	1	0	1	1
ENSG00000254772.9	0	0	2	1	6	4	1	5	0	2	2	3	0	2	0	3
ENSG00000149489.8	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0
ENSG00000089597.16	3	1	1	1	4	2	0	0	1	1	1	4	0	2	0	2
ENSG00000214756.7	5	0	1	1	1	1	1	0	2	1	0	0	1	1	0	1
ENSG00000204922.4	23	12	17	13	25	14	13	13	13	10	9	14	6	6	16	14
ENSG00000162191.13	8	7	13	8	6	14	3	9	4	4	4	7	5	9	8	7
ENSG00000162222.13	4	1	3	2	2	2	1	3	3	1	3	1	0	0	1	0
ENSG00000168002.11	16	12	21	16	24	12	10	16	9	13	21	16	9	12	15	18
ENSG00000185475.8	6	5	3	3	5	3	4	6	3	3	4	1	3	7	6	4
ENSG00000168569.7	11	9	6	8	5	6	5	5	6	9	7	10	8	7	4	8
ENSG00000162231.13	1	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0
ENSG00000162236.11	2	3	3	4	3	1	0	1	2	3	0	4	4	3	2	2
ENSG00000133316.15	0	5	2	4	6	8	3	5	0	0	2	2	2	2	1	2
ENSG00000255717.6	3	2	2	1	5	5	4	3	0	0	0	4	2	2	4	2
ENSG00000168003.16	10	8	5	3	6	7	5	3	7	3	6	6	7	7	4	4
ENSG00000176485.10	5	5	4	5	5	8	2	2	5	3	5	4	2	3	4	6
ENSG00000184743.12	1	5	0	3	4	4	5	0	3	2	4	3	1	4	2	0
ENSG00000133318.13	5	4	8	5	14	7	3	6	8	4	5	6	7	4	2	4
ENSG00000072518.20	0	0	1	1	1	1	0	0	0	0	0	0	0	2	0	1
ENSG00000110583.12	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0
ENSG00000176340.3	91	74	77	81	105	101	65	80	86	69	79	74	62	71	70	82
ENSG00000167770.11	6	6	14	12	11	4	4	2	3	4	8	4	7	6	2	5
ENSG00000133315.10	3	0	3	1	3	3	0	2	3	0	2	3	5	5	3	7
ENSG00000168439.16	3	1	6	1	5	3	1	0	1	1	9	1	4	2	5	1
ENSG00000149743.13	1	2	3	1	5	6	1	5	6	7	4	7	2	3	1	3
ENSG00000149761.8	4	9	4	2	1	5	6	4	3	2	4	3	3	2	6	7
ENSG00000110011.13	1	4	2	1	3	1	0	1	1	2	2	1	2	5	0	1
ENSG00000173486.12	18	12	19	8	25	18	13	19	17	17	19	22	15	16	13	28
ENSG00000173457.10	35	27	14	22	38	22	18	25	23	35	14	24	13	23	29	34
ENSG00000256940.1	9	5	6	3	6	8	3	7	6	5	5	8	6	8	5	7
ENSG00000002330.13	4	2	3	2	3	4	2	4	2	2	3	4	2	1	4	1
ENSG00000173264.13	2	0	0	0	1	2	1	1	1	0	0	2	1	0	2	1
ENSG00000173153.13	0	0	0	2	2	2	2	0	1	0	1	1	0	0	0	0
ENSG00000173113.6	80	75	61	56	91	59	48	66	77	55	65	57	59	68	57	72
ENSG00000126432.13	146	106	119	109	162	121	89	109	115	104	88	64	83	101	103	106
ENSG00000168066.20	0	2	0	0	2	0	1	1	0	2	0	1	0	1	0	2
ENSG00000133895.14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000110047.17	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0
ENSG00000213465.7	18	7	7	11	13	10	9	6	17	13	6	12	5	12	12	20
ENSG00000168061.13	2	7	3	0	4	8	3	2	5	1	4	4	1	0	1	4
ENSG00000146670.9	3	0	1	1	2	4	2	3	1	3	2	1	1	3	0	2
ENSG00000162300.11	1	0	1	3	1	0	1	1	1	2	1	2	1	4	4	5
ENSG00000149823.7	2	3	1	1	0	0	0	0	0	1	0	0	2	0	0	0
ENSG00000174276.6	2	1	1	2	1	2	2	2	1	0	1	4	3	2	2	1
ENSG00000149806.10	197	150	159	162	215	211	137	138	148	148	129	140	129	149	107	166
ENSG00000149792.8	2	0	2	0	2	0	1	1	1	1	2	2	3	1	1	2
ENSG00000162298.16	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
ENSG00000014138.8	0	1	1	0	0	0	2	0	0	2	2	1	2	0	0	1
ENSG00000149798.4	0	0	0	0	1	0	0	1	0	1	0	2	2	2	1	0
ENSG00000245532.5	10	9	7	4	8	12	8	4	6	8	3	13	5	12	7	6
ENSG00000251562.7	3181	2981	2799	2480	3393	2597	2690	2249	2933	2478	2981	4737	2333	2581	2505	3334
ENSG00000279576.1	2	0	3	3	0	1	0	0	1	1	2	2	1	2	3	2
ENSG00000173465.7	15	12	13	14	18	16	19	14	10	18	8	15	11	9	11	11
ENSG00000176973.7	5	1	2	1	3	0	2	1	6	2	0	3	1	1	1	2
ENSG00000172922.8	22	19	17	27	21	31	18	21	21	26	31	15	13	28	13	24
ENSG00000255120.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172757.12	54	51	36	38	56	47	36	41	46	38	43	54	28	39	36	47
ENSG00000172500.12	9	7	5	4	17	6	3	6	8	7	3	11	7	4	9	14
ENSG00000175602.3	8	8	5	8	12	10	4	5	7	6	6	8	5	7	7	10
ENSG00000175592.8	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
ENSG00000175550.7	18	19	14	14	13	13	12	14	12	13	11	16	6	15	12	14
ENSG00000175334.7	45	40	39	32	40	43	32	30	31	25	37	36	23	37	19	31
ENSG00000175294.5	1	2	0	1	1	0	0	1	0	1	0	0	0	0	1	0
ENSG00000087365.14	3	4	4	5	2	7	2	3	2	1	10	7	2	3	5	1
ENSG00000174996.11	0	0	2	0	1	0	1	0	0	0	0	1	0	1	1	1
ENSG00000174903.14	3	4	4	3	7	0	3	4	8	1	3	7	6	3	5	5
ENSG00000174851.14	13	12	8	6	9	10	5	10	6	10	9	11	6	6	4	13
ENSG00000174791.10	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0
ENSG00000174744.13	2	3	1	1	0	2	1	1	2	2	4	3	1	1	2	3
ENSG00000174547.13	9	21	23	14	36	19	12	17	9	13	15	22	10	12	15	14
ENSG00000254986.7	2	2	1	0	0	1	0	1	1	1	0	0	0	0	0	0
ENSG00000174165.7	5	4	1	3	2	2	3	0	4	2	2	2	4	2	7	2
ENSG00000173992.8	1	2	0	0	0	1	0	1	1	0	1	0	0	0	0	0
ENSG00000173914.11	0	3	0	0	0	1	3	1	2	0	1	1	0	0	0	1
ENSG00000173898.11	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0
ENSG00000173715.15	0	0	1	1	0	1	0	4	1	1	1	1	0	1	0	1
ENSG00000173621.8	2	0	1	0	2	2	0	0	0	1	1	1	0	0	1	0
ENSG00000173599.13	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0
ENSG00000173237.4	8	2	2	2	5	0	2	5	3	5	4	6	1	1	1	2
ENSG00000173156.6	2	5	6	1	3	2	4	4	0	3	2	3	3	1	1	2
ENSG00000173020.10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000172830.12	0	0	0	1	1	0	1	0	0	0	0	2	0	0	1	0
ENSG00000175482.8	3	4	1	1	4	3	3	2	0	1	0	2	0	0	1	1
ENSG00000274251.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175505.10	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0
ENSG00000172531.14	17	13	17	13	19	17	14	15	16	12	14	18	16	15	13	25
ENSG00000175634.14	5	1	2	1	5	2	1	0	2	1	3	1	1	1	1	0
ENSG00000172725.13	3	2	3	4	0	2	2	1	2	3	4	4	2	2	5	6
ENSG00000172663.8	4	5	1	3	2	4	2	1	4	2	1	2	3	1	2	1
ENSG00000110711.9	12	3	4	8	11	3	3	4	3	4	2	5	1	5	4	5
ENSG00000167797.7	1	0	1	4	0	2	0	0	2	2	2	5	0	2	3	0
ENSG00000167792.11	6	1	3	2	8	0	4	0	3	3	3	7	1	2	6	5
ENSG00000167799.9	8	1	1	1	3	5	6	4	2	0	0	1	1	5	0	2
ENSG00000160172.10	0	1	0	0	1	3	0	1	1	0	1	2	0	2	0	1
ENSG00000110057.7	0	0	3	0	1	1	0	0	0	0	0	0	0	2	1	1
ENSG00000006534.15	1	0	0	1	0	2	0	1	0	0	0	3	2	0	1	3
ENSG00000110717.10	37	28	43	28	40	40	34	34	38	32	29	29	26	30	22	35
ENSG00000110721.11	0	0	1	1	0	1	1	2	0	0	0	2	1	0	0	0
ENSG00000110066.14	2	0	0	3	1	0	2	1	0	0	1	2	0	0	0	1
ENSG00000171067.10	4	1	2	3	4	2	3	2	4	2	2	6	6	3	4	6
ENSG00000069482.6	25	22	21	18	28	17	10	14	24	12	13	10	12	18	17	30
ENSG00000197345.12	18	25	24	20	34	19	20	25	24	24	23	34	19	9	13	26
ENSG00000149716.12	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0
ENSG00000168040.4	2	2	0	0	3	1	0	0	0	1	2	3	3	4	0	2
ENSG00000131626.15	2	0	1	0	0	1	2	2	1	0	1	3	1	0	3	1
ENSG00000085733.15	1	1	0	3	0	0	1	1	1	2	2	9	2	0	1	2
ENSG00000172893.15	1	0	0	2	3	1	1	0	0	0	1	1	1	0	0	1
ENSG00000254682.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172890.11	1	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0
ENSG00000158483.15	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000137522.17	3	1	0	1	2	1	0	0	1	1	0	0	1	0	1	0
ENSG00000149357.9	11	8	9	9	13	11	9	7	7	10	8	8	8	15	12	12
ENSG00000110200.8	4	4	8	4	6	4	4	5	8	6	11	10	7	5	6	12
ENSG00000110195.11	45	24	40	24	41	26	15	17	42	32	33	41	19	16	29	29
ENSG00000165458.13	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	1
ENSG00000162129.12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227467.3	2	4	0	1	2	1	0	1	0	2	0	1	2	1	2	1
ENSG00000186642.15	2	1	0	0	2	1	1	2	0	1	4	1	0	1	0	1
ENSG00000214530.7	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0
ENSG00000054965.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175582.19	3	1	1	0	5	1	1	1	2	1	1	0	2	1	2	1
ENSG00000175581.13	11	2	3	8	8	1	3	5	4	4	3	5	5	8	5	5
ENSG00000181924.6	24	14	23	19	22	34	14	19	16	19	15	17	8	14	16	8
ENSG00000175575.12	4	2	3	2	1	3	6	1	1	2	1	1	0	0	2	3
ENSG00000175567.8	3	5	5	4	5	2	2	6	2	7	3	3	2	4	3	3
ENSG00000214517.8	1	0	0	0	0	3	0	0	3	1	0	1	0	0	2	1
ENSG00000165434.7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175536.6	0	2	1	2	1	1	1	0	0	0	0	0	0	0	1	0
ENSG00000254837.2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000077514.8	7	2	2	3	3	4	5	2	2	3	2	5	1	8	5	1
ENSG00000054938.15	2	1	1	2	6	0	3	2	1	0	1	1	1	0	1	2
ENSG00000118363.11	48	34	19	20	33	32	26	38	28	25	30	24	20	33	23	29
ENSG00000162139.9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279117.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000149273.14	179	157	166	147	209	192	140	175	153	104	143	152	99	141	128	170
ENSG00000149243.15	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000149257.13	1	0	0	1	1	0	1	1	1	3	1	0	0	1	2	0
ENSG00000198382.8	1	1	1	2	2	2	0	4	1	0	4	4	3	1	0	0
ENSG00000137492.7	0	1	3	0	1	2	2	2	1	0	2	1	0	3	2	1
ENSG00000158636.16	0	3	0	2	2	1	2	1	0	3	1	0	0	2	3	1
ENSG00000137507.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000255100.1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
ENSG00000182704.7	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000149269.9	4	1	1	2	2	1	1	2	1	1	1	2	4	1	1	3
ENSG00000074201.8	10	14	5	7	14	7	9	9	5	7	8	6	10	1	2	11
ENSG00000048649.13	4	0	0	0	3	1	1	0	1	2	2	3	1	2	6	1
ENSG00000087884.14	4	1	5	4	6	4	4	5	3	2	1	2	6	2	0	1
ENSG00000149262.16	4	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0
ENSG00000151366.12	98	77	85	68	109	98	84	86	108	91	77	109	65	84	69	101
ENSG00000159063.12	9	13	6	7	4	12	5	7	5	9	3	8	7	5	5	11
ENSG00000033327.12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000137513.9	4	0	0	0	0	3	3	0	1	1	2	1	0	1	1	1
ENSG00000227097.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000137509.10	2	0	2	1	1	1	1	1	1	0	1	0	0	0	3	0
ENSG00000165490.12	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSG00000137502.9	5	4	2	2	1	0	1	0	0	0	1	2	0	1	0	2
ENSG00000246067.7	8	6	5	5	7	4	7	7	7	7	12	4	6	3	4	6
ENSG00000165494.10	0	1	1	0	0	0	0	0	1	0	1	3	0	0	1	1
ENSG00000247137.8	1	1	2	0	0	0	0	0	1	0	0	0	1	0	0	0
ENSG00000137500.9	5	6	11	6	11	5	9	5	6	7	5	1	1	3	6	3
ENSG00000171204.12	4	10	9	7	12	14	6	4	7	4	4	9	2	4	9	8
ENSG00000171202.6	12	5	12	17	14	6	12	8	10	13	13	6	12	7	11	12
ENSG00000073921.17	0	3	2	1	2	0	1	1	6	1	1	4	0	1	1	2
ENSG00000074266.17	6	6	5	4	7	5	2	1	3	2	4	5	4	3	3	4
ENSG00000149196.15	20	9	12	9	14	12	6	11	10	13	14	8	7	9	10	5
ENSG00000150687.11	14	9	10	6	10	7	6	2	8	8	7	19	5	7	8	9
ENSG00000166575.16	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	1
ENSG00000109861.15	8	6	1	5	14	5	5	5	1	2	6	13	4	4	1	3
ENSG00000110172.11	9	1	9	6	6	5	4	1	3	3	6	6	3	8	5	6
ENSG00000180773.14	0	2	3	1	1	0	1	2	0	1	3	3	0	3	3	4
ENSG00000166002.6	4	2	0	3	4	1	1	8	3	5	0	3	0	4	6	7
ENSG00000166004.14	8	7	6	3	6	8	6	5	8	8	5	13	3	5	8	9
ENSG00000254911.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000166012.14	5	5	12	8	10	9	6	5	11	7	9	17	11	9	6	5
ENSG00000182919.14	7	1	1	5	6	2	1	5	4	3	0	6	0	1	1	4
ENSG00000042429.10	1	2	2	2	1	1	2	1	1	1	1	3	0	2	3	3
ENSG00000110218.8	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000020922.12	3	1	4	2	2	1	1	0	1	1	1	1	1	2	1	3
ENSG00000168876.8	4	2	2	2	5	3	2	2	3	5	5	1	1	1	2	3
ENSG00000150316.11	25	13	13	17	25	10	13	18	5	13	15	16	12	10	17	25
ENSG00000186280.6	1	1	0	0	0	0	0	1	0	2	1	2	0	0	0	0
ENSG00000263465.3	1	3	1	2	1	0	1	0	0	2	0	0	1	0	2	0
ENSG00000077458.12	0	1	1	0	0	1	0	1	0	0	1	0	2	1	1	1
ENSG00000166037.10	4	3	7	2	6	2	2	3	1	3	5	10	3	4	4	6
ENSG00000087053.18	1	1	0	2	3	1	0	0	0	1	2	0	0	1	1	3
ENSG00000149231.11	1	2	1	1	3	2	4	1	3	4	2	2	0	1	4	3
ENSG00000183340.6	0	0	2	0	0	2	2	0	0	0	0	1	0	1	2	3
ENSG00000165895.17	0	0	2	0	2	0	0	1	0	0	2	0	0	1	0	0
ENSG00000170647.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000110318.13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000137693.13	1	0	1	1	1	0	2	3	1	0	1	0	0	0	1	0
ENSG00000023445.13	0	0	1	0	1	2	1	1	3	0	0	3	2	0	1	1
ENSG00000110330.8	1	2	1	0	1	0	0	0	0	0	1	1	2	1	0	0
ENSG00000152558.14	3	1	1	5	4	1	6	1	4	4	1	4	3	2	1	4
ENSG00000137692.11	2	5	3	4	6	3	5	4	2	4	2	3	2	3	4	2
ENSG00000196954.12	2	3	3	2	6	3	2	3	3	3	1	3	2	2	2	3
ENSG00000137752.22	2	3	1	4	5	3	0	2	3	1	2	6	1	1	0	4
ENSG00000204397.7	17	17	18	10	18	5	6	15	15	15	15	9	14	10	22	11
ENSG00000170903.10	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0
ENSG00000182359.14	0	1	1	2	1	0	0	1	2	0	0	1	0	0	1	0
ENSG00000149313.10	4	1	1	1	2	0	2	4	1	1	3	6	0	1	3	4
ENSG00000152404.15	1	1	2	2	4	0	3	0	3	1	0	3	1	3	0	1
ENSG00000166266.13	4	4	1	0	4	4	1	4	0	1	2	2	2	0	2	0
ENSG00000075239.13	10	6	7	1	5	4	4	6	4	6	2	8	3	4	3	6
ENSG00000149308.16	0	0	3	1	3	1	0	3	0	2	0	1	0	1	0	0
ENSG00000149311.17	0	0	1	0	0	0	0	0	0	0	1	0	3	2	1	1
ENSG00000110723.11	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000149289.10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000137710.14	8	6	13	4	12	8	5	8	8	6	8	14	13	11	11	6
ENSG00000137714.2	9	8	4	5	7	6	3	1	1	4	5	7	2	5	4	4
ENSG00000170145.4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1
ENSG00000137713.15	1	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0
ENSG00000086848.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000137720.7	4	2	1	3	2	1	2	1	1	1	0	3	4	1	2	0
ENSG00000150768.15	1	0	1	0	0	0	1	2	1	2	2	2	1	2	3	0
ENSG00000150773.10	0	0	0	1	2	1	0	0	0	0	0	1	1	0	0	0
ENSG00000150776.17	1	1	0	0	0	0	1	1	2	0	0	2	2	0	1	0
ENSG00000150779.11	53	35	50	23	52	46	32	38	37	31	29	33	22	35	22	30
ENSG00000204370.8	26	15	9	10	8	10	10	10	9	9	12	14	11	10	13	18
ENSG00000150782.11	15	10	11	9	15	15	6	13	3	7	3	7	7	4	6	12
ENSG00000150787.7	22	15	21	14	18	13	15	12	21	22	17	26	17	16	21	17
ENSG00000086827.8	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	1
ENSG00000166741.7	24	21	17	15	18	19	16	16	18	12	9	17	16	16	16	7
ENSG00000076053.10	2	1	0	1	1	2	2	2	1	2	3	1	0	2	2	2
ENSG00000076043.9	12	12	9	14	14	9	11	12	7	12	12	10	9	7	8	20
ENSG00000137656.11	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1
ENSG00000109917.10	1	2	0	0	2	1	1	1	2	3	1	3	1	1	1	0
ENSG00000168092.13	0	3	2	1	2	0	0	0	0	0	1	2	1	0	1	0
ENSG00000160613.12	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0
ENSG00000167257.10	0	0	1	0	0	1	0	0	0	0	0	3	1	0	0	0
ENSG00000186318.16	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
ENSG00000110274.14	1	1	2	4	2	3	0	1	0	1	3	1	2	2	0	1
ENSG00000149573.8	3	4	4	0	7	6	7	0	6	4	5	7	3	2	4	5
ENSG00000110344.9	1	0	0	0	1	2	0	0	1	0	0	1	1	0	1	1
ENSG00000167283.7	77	89	87	69	89	75	74	76	83	79	79	70	43	58	60	78
ENSG00000118058.20	1	0	0	4	3	1	2	0	2	0	0	2	1	0	2	1
ENSG00000118096.7	3	0	0	1	2	0	3	0	1	1	0	1	0	0	1	0
ENSG00000095139.13	0	0	1	2	0	0	0	1	1	2	1	1	0	2	2	1
ENSG00000110367.11	2	0	0	1	2	1	1	0	0	1	0	5	0	1	0	1
ENSG00000278376.1	1	0	0	0	0	0	0	1	0	1	0	0	2	0	0	1
ENSG00000118181.10	122	87	103	91	115	108	83	90	83	87	80	98	65	80	73	101
ENSG00000196655.9	5	9	4	6	3	5	4	5	10	4	5	4	5	6	3	8
ENSG00000256269.6	6	3	5	1	4	4	3	1	7	4	8	2	0	2	2	5
ENSG00000172269.16	1	2	0	1	2	0	1	4	1	2	1	3	0	0	2	0
ENSG00000110395.4	0	0	0	3	0	0	0	0	1	1	0	0	0	1	0	0
ENSG00000076706.14	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
ENSG00000137699.16	3	3	7	1	9	2	4	5	4	5	8	7	0	4	2	6
ENSG00000181264.8	2	1	3	3	2	3	2	3	2	1	3	0	1	1	0	1
ENSG00000109929.9	0	0	3	1	0	3	1	0	1	0	0	1	0	0	1	0
ENSG00000109971.13	29	14	14	15	22	26	17	12	37	15	26	34	13	16	15	28
ENSG00000166250.11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSG00000110002.15	3	6	6	3	7	2	3	3	7	9	8	10	4	8	5	5
ENSG00000154144.12	1	1	1	0	2	1	1	0	0	2	2	1	2	0	2	1
ENSG00000064199.6	1	1	3	2	1	2	5	1	0	2	2	2	0	3	1	0
ENSG00000255045.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250073.2	2	1	0	0	2	3	0	2	2	2	2	1	2	0	1	5
ENSG00000150433.9	0	0	1	0	0	1	2	0	1	1	0	2	0	0	1	0
ENSG00000149547.14	6	3	3	0	6	4	4	5	7	3	5	8	1	1	7	5
ENSG00000149554.12	3	1	2	1	1	1	1	0	1	0	2	3	2	1	3	5
ENSG00000110060.8	0	1	1	0	3	0	1	0	0	1	0	2	0	0	0	1
ENSG00000165526.8	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ENSG00000197798.8	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	2
ENSG00000182934.11	6	2	1	1	0	2	3	1	3	3	1	2	1	2	2	4
ENSG00000110074.10	1	0	0	0	2	0	0	0	1	0	1	1	2	2	3	1
ENSG00000280832.1	2	1	2	1	1	1	0	2	1	0	2	3	2	1	2	2
ENSG00000110063.8	2	3	2	2	4	4	3	4	2	1	1	2	3	0	4	1
ENSG00000110080.18	0	3	1	1	2	0	0	1	1	1	1	2	0	2	1	1
ENSG00000134954.14	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0
ENSG00000151715.7	0	1	0	0	0	3	3	0	1	0	1	2	1	1	4	1
ENSG00000170322.14	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2
ENSG00000084234.16	0	0	2	1	1	2	1	0	0	1	0	2	2	1	1	2
ENSG00000196323.11	1	0	1	0	0	1	0	0	0	1	0	0	2	0	0	0
ENSG00000151503.12	1	4	6	7	9	5	3	4	4	3	5	9	5	5	2	3
ENSG00000151502.10	1	1	1	0	2	0	0	0	1	1	0	3	0	0	0	0
ENSG00000151500.14	10	5	4	7	11	7	1	1	2	5	5	6	1	5	3	4
ENSG00000255327.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120647.9	1	0	1	1	0	1	0	1	2	1	3	0	1	0	1	1
ENSG00000171840.11	1	1	1	0	2	0	0	1	0	3	3	1	1	0	0	0
ENSG00000060237.16	1	1	1	0	0	0	0	1	1	1	1	4	1	1	0	1
ENSG00000006831.9	2	2	2	2	1	1	0	0	1	2	1	4	1	4	1	0
ENSG00000004478.7	4	4	5	3	2	2	2	0	1	2	1	1	4	2	1	3
ENSG00000111206.12	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
ENSG00000171792.10	3	1	1	1	1	1	1	3	1	1	1	0	1	1	3	6
ENSG00000078246.15	0	0	2	2	2	3	0	0	2	0	1	1	1	0	1	3
ENSG00000197905.8	1	1	1	0	1	0	0	0	1	2	0	2	0	0	0	0
ENSG00000227081.5	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
ENSG00000078237.5	3	5	1	3	3	3	2	4	5	1	1	3	1	1	2	3
ENSG00000111247.14	7	5	1	2	7	4	5	5	6	4	6	5	2	4	2	6
ENSG00000010219.13	2	6	3	0	1	2	1	5	1	1	1	2	0	4	2	2
ENSG00000139180.10	16	18	21	14	20	19	11	6	15	20	12	12	10	16	13	12
ENSG00000010278.11	24	21	17	9	21	10	15	16	16	17	18	20	12	12	13	23
ENSG00000067182.7	1	1	0	0	0	0	1	2	0	1	0	0	1	1	1	0
ENSG00000111321.10	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0
ENSG00000111639.7	54	50	44	42	58	50	41	44	55	55	47	33	35	37	29	57
ENSG00000111640.14	643	510	477	372	598	485	401	406	464	404	412	570	328	384	364	492
ENSG00000269968.1	0	0	1	0	2	1	0	0	1	1	0	2	1	0	1	0
ENSG00000111641.10	0	0	1	0	1	0	1	2	0	1	1	4	0	0	0	3
ENSG00000111642.14	3	1	2	2	0	3	2	0	1	2	2	0	1	0	4	3
ENSG00000111653.19	0	1	1	0	0	0	1	0	2	0	1	0	0	0	0	1
ENSG00000089693.10	4	11	8	8	3	5	2	4	4	13	6	10	5	4	5	8
ENSG00000159335.15	6	9	10	6	15	12	12	6	9	9	9	5	6	5	4	4
