Variable	GG_1ngS1_1	GG_1ngS1_2	GG_1ngS1_3	GG_1ngS1_4	GG_1ngS1_5	GG_1ngS1_6	GG_1ngS1_7	GG_1ngS1_8	GG_1ngS2_1	GG_1ngS2_2	GG_1ngS2_3	GG_1ngS2_4	GG_1ngS2_5	GG_1ngS2_6	GG_1ngS2_7	GG_1ngS2_8
ENSG00000076258.9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ENSG00000117523.15	2	6	7	8	5	6	8	7	11	19	11	8	10	2	8	5
ENSG00000233328.3	1	0	2	0	0	2	1	0	1	0	0	0	3	0	0	0
ENSG00000117533.14	3	0	2	1	0	2	2	2	2	1	1	2	2	3	1	2
ENSG00000010165.19	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0
ENSG00000224600.5	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1
ENSG00000197959.13	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
ENSG00000206684.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000135845.9	0	3	3	2	2	1	0	7	1	8	4	4	1	1	4	3
ENSG00000094975.13	1	0	1	1	1	1	3	2	3	3	1	1	1	1	3	2
ENSG00000117586.10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203739.3	0	0	0	1	0	1	0	2	0	0	0	1	1	0	0	0
ENSG00000117592.8	31	27	39	28	26	34	39	16	24	36	31	26	19	27	23	20
ENSG00000076321.10	0	1	0	1	0	0	0	2	0	1	2	0	2	1	1	1
ENSG00000117593.9	3	1	1	1	2	4	0	0	3	3	1	1	0	0	2	0
ENSG00000120334.15	1	0	1	0	2	2	2	0	1	3	1	0	2	1	0	0
ENSG00000185278.14	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ENSG00000234741.7	11	19	10	10	15	14	15	12	13	10	7	18	19	13	10	17
ENSG00000236535.1	1	2	0	0	1	3	0	1	0	1	1	3	0	1	1	0
ENSG00000135870.11	1	4	3	1	2	1	1	3	0	3	5	1	1	3	2	3
ENSG00000152061.21	3	1	2	3	2	0	2	0	1	3	4	2	0	0	3	1
ENSG00000227373.5	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
ENSG00000229531.5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116161.17	33	33	41	37	29	35	31	27	28	42	39	31	16	38	21	27
ENSG00000206659.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000120333.4	15	13	21	17	20	14	8	12	8	10	13	12	6	12	13	12
ENSG00000235750.9	0	0	0	0	0	0	0	0	0	3	0	2	0	1	0	0
ENSG00000227740.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230777.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000143207.19	1	3	2	0	4	2	2	3	4	6	5	1	0	3	2	2
ENSG00000236021.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224687.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000075391.16	1	1	3	1	0	3	1	2	1	2	0	1	2	0	0	0
ENSG00000273384.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000116191.17	1	5	1	2	1	3	2	2	3	2	1	5	0	3	3	0
ENSG00000228196.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000116199.11	1	1	1	0	1	0	1	1	0	1	1	0	0	0	3	0
ENSG00000186283.13	0	0	0	2	0	1	0	2	0	3	1	1	2	1	3	2
ENSG00000143322.19	0	0	2	0	2	0	1	0	0	5	2	0	0	0	0	0
ENSG00000057252.12	4	9	4	1	5	5	4	11	3	6	3	3	0	7	4	5
ENSG00000169905.12	3	1	4	3	2	2	2	0	2	5	3	2	4	3	3	3
ENSG00000143337.18	4	4	3	2	0	1	1	2	1	1	1	1	2	3	1	0
ENSG00000260360.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000135837.15	1	4	2	0	1	2	5	2	2	5	4	4	4	0	1	0
ENSG00000116260.16	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSG00000121454.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000281572.1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000265435.1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ENSG00000230124.6	4	3	3	6	3	6	4	7	4	8	2	7	5	4	4	4
ENSG00000143324.13	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1
ENSG00000243155.1	0	0	0	2	1	0	0	1	0	0	0	0	0	1	0	1
ENSG00000135823.13	1	0	1	1	2	2	0	1	0	2	1	1	0	0	3	0
ENSG00000153029.14	0	0	0	0	0	0	0	1	1	1	0	0	1	3	1	2
ENSG00000162783.10	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0
ENSG00000225982.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000231684.3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000135821.16	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0
ENSG00000276839.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000135828.11	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000143333.6	0	0	1	0	1	1	0	0	0	0	2	1	0	0	0	0
ENSG00000135838.13	0	1	0	2	0	0	0	0	0	1	1	0	0	1	0	1
ENSG00000135829.16	1	4	6	4	7	2	1	4	2	7	4	1	4	3	3	1
ENSG00000224040.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000135862.5	0	0	0	0	1	0	0	1	0	0	0	1	0	2	1	1
ENSG00000157064.10	1	2	0	2	1	1	1	0	1	2	1	2	2	2	1	1
ENSG00000116698.20	2	2	2	3	1	1	0	0	0	2	0	0	0	2	0	2
ENSG00000162704.15	15	21	28	22	24	26	30	17	35	33	27	26	17	34	24	28
ENSG00000143344.15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000198860.11	4	5	11	3	4	6	6	4	1	6	5	8	5	7	4	14
ENSG00000116406.18	2	1	0	2	1	0	1	1	2	1	0	1	0	1	1	0
ENSG00000135842.16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000201312.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000121481.10	1	1	0	1	0	1	0	0	0	2	0	0	0	0	1	0
ENSG00000121486.11	0	1	0	0	0	5	1	1	1	4	0	0	0	1	1	0
ENSG00000116668.12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238061.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116679.15	1	1	1	0	0	0	2	1	1	2	5	4	0	0	0	2
ENSG00000116690.11	2	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0
ENSG00000047410.13	5	15	9	12	7	12	11	9	10	19	12	11	9	11	7	6
ENSG00000157181.14	4	2	3	5	0	2	3	0	1	4	4	4	2	4	1	5
ENSG00000073756.11	1	1	0	1	0	2	0	0	2	2	2	1	0	1	0	0
ENSG00000273129.1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
ENSG00000116711.9	3	3	3	0	1	4	2	2	1	4	6	4	2	5	2	4
ENSG00000238054.1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0
ENSG00000231175.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231767.3	6	13	11	16	10	19	9	14	3	11	14	19	11	18	9	9
ENSG00000116741.7	1	2	4	2	2	2	2	1	3	2	0	1	2	5	0	1
ENSG00000234871.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000238754.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000116747.12	3	8	6	4	2	4	6	4	1	12	7	2	2	2	2	3
ENSG00000116750.13	7	8	9	9	14	13	6	5	12	11	13	7	8	14	4	17
ENSG00000272579.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000023572.8	8	9	9	8	9	3	6	11	6	7	3	8	4	3	5	9
ENSG00000134371.9	3	4	3	2	3	6	2	5	3	6	2	2	1	4	3	4
ENSG00000221680.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000162687.16	0	0	0	1	0	2	1	0	0	0	0	2	0	1	0	0
ENSG00000000971.15	5	5	10	5	3	11	10	8	5	7	5	5	4	6	9	3
ENSG00000244414.6	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0
ENSG00000066279.16	4	9	11	4	3	8	4	6	11	7	11	3	5	5	11	4
ENSG00000177888.7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ENSG00000134376.14	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	1
ENSG00000233040.2	0	0	1	1	2	0	1	0	0	0	0	1	1	2	1	0
ENSG00000213047.11	1	0	0	0	1	0	0	1	3	0	0	0	0	0	2	1
ENSG00000203724.10	5	5	5	3	3	4	5	6	6	3	7	2	0	1	2	1
ENSG00000143355.15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000151414.14	8	13	10	6	13	10	8	5	6	10	9	11	6	11	4	3
ENSG00000081237.18	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0
ENSG00000229989.3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000162702.7	0	0	0	0	1	0	0	0	0	3	1	3	0	1	0	1
ENSG00000118193.11	1	4	3	1	5	5	2	1	0	5	1	0	1	3	1	3
ENSG00000260088.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000118197.13	0	2	2	2	2	5	4	0	1	3	1	0	2	3	0	5
ENSG00000118200.14	1	0	0	1	2	1	1	3	1	1	1	2	1	1	2	1
ENSG00000116852.14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116857.16	11	10	5	9	9	13	8	12	13	11	8	10	9	11	11	8
ENSG00000118194.18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000159166.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000174307.6	4	2	4	2	2	7	2	3	3	5	1	1	2	1	2	3
ENSG00000224536.1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
ENSG00000159176.13	7	6	6	3	4	12	8	6	7	9	6	5	4	8	5	9
ENSG00000223396.2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000134369.15	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1
ENSG00000198700.9	1	2	2	3	2	3	1	1	1	5	2	1	0	5	1	0
ENSG00000231871.5	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0
ENSG00000134375.10	10	16	16	23	19	15	16	19	15	12	18	23	10	23	15	12
ENSG00000176393.10	3	0	2	1	2	4	0	4	3	2	0	1	3	3	2	0
ENSG00000273478.1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000163435.15	0	3	3	2	2	2	3	1	2	3	4	1	0	1	2	2
ENSG00000234678.1	0	0	1	0	1	0	2	0	0	0	0	2	1	0	0	0
ENSG00000249007.1	1	1	1	0	0	0	1	1	0	2	0	0	0	0	1	0
ENSG00000170075.8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000143862.7	1	0	1	1	0	2	1	2	1	0	1	0	1	2	1	1
ENSG00000077152.9	13	12	21	14	12	16	7	9	6	16	5	14	11	15	6	14
ENSG00000077157.20	0	1	1	1	1	1	2	0	0	0	3	0	1	2	0	0
ENSG00000232626.3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000236439.4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSG00000235449.2	1	5	3	2	3	6	4	5	1	4	2	1	5	8	2	0
ENSG00000117139.16	4	2	1	0	1	4	1	0	0	3	1	1	2	0	4	1
ENSG00000214796.8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000183155.4	4	11	8	8	7	8	4	5	3	2	6	4	0	4	2	6
ENSG00000117153.15	0	0	1	0	2	0	3	0	0	0	1	1	0	1	0	0
ENSG00000159346.12	3	8	7	3	5	3	3	2	2	10	7	6	1	4	3	3
ENSG00000159348.12	0	1	2	0	0	0	0	1	1	2	0	0	0	0	1	1
ENSG00000163444.11	7	8	5	5	5	9	5	5	3	7	7	5	5	5	5	6
ENSG00000143847.15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000058668.14	0	1	0	0	0	0	0	3	1	3	0	1	0	0	3	0
ENSG00000236035.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000058673.15	1	2	2	3	0	1	2	3	2	4	3	3	0	2	2	2
ENSG00000257315.1	0	1	0	0	2	3	1	0	1	0	1	0	1	1	5	1
ENSG00000182004.12	66	68	77	77	60	67	76	66	55	70	52	58	38	79	59	48
ENSG00000143842.14	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ENSG00000219133.2	0	0	0	1	0	1	0	0	0	4	1	0	0	0	0	0
ENSG00000143850.12	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000226330.1	0	2	0	1	2	1	1	0	0	0	1	0	0	0	0	0
ENSG00000158615.8	0	1	1	1	0	1	2	2	4	0	4	2	1	1	0	1
ENSG00000133056.13	0	1	0	0	0	2	0	0	3	0	0	0	0	0	0	1
ENSG00000198625.12	3	2	0	0	0	0	2	2	0	3	3	1	1	2	1	3
ENSG00000117222.13	0	0	1	0	2	0	0	1	2	0	0	1	0	1	1	0
ENSG00000133059.16	0	0	0	0	0	2	0	1	0	0	0	0	1	1	1	0
ENSG00000163545.8	0	0	0	0	0	1	1	0	3	0	2	1	0	0	1	0
ENSG00000235363.1	3	2	4	0	0	2	2	4	4	3	1	2	0	3	3	1
ENSG00000162873.14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224717.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000117266.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000158711.13	1	2	2	0	3	1	0	0	0	2	0	3	0	1	1	0
ENSG00000158715.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000201944.1	0	0	1	0	0	1	2	0	0	0	0	2	0	1	1	0
ENSG00000069275.12	27	39	49	39	39	37	36	52	41	80	50	58	33	48	62	47
ENSG00000117280.12	1	0	1	0	3	0	1	1	2	3	2	2	0	2	0	0
ENSG00000133065.10	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000162877.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000174502.18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000266028.7	1	0	0	0	0	0	0	2	0	1	2	1	0	0	0	1
ENSG00000196550.10	0	0	1	2	0	0	0	0	2	0	1	0	0	0	0	0
ENSG00000263528.7	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
ENSG00000266094.6	0	0	1	1	0	0	0	0	0	2	0	1	0	0	1	0
ENSG00000143486.15	0	6	3	0	1	1	2	4	3	1	1	1	2	1	1	2
ENSG00000143479.15	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
ENSG00000162889.10	0	0	1	4	0	1	0	0	0	0	0	0	1	1	2	0
ENSG00000224114.1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162894.11	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
ENSG00000182795.12	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000123836.14	0	1	2	0	1	1	1	0	0	0	1	0	0	1	0	0
ENSG00000180667.10	0	2	2	0	1	1	1	1	1	0	2	0	1	0	1	2
ENSG00000123843.12	39	47	45	34	41	49	38	24	30	50	36	21	27	36	25	21
ENSG00000123838.10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000237074.1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000196352.13	24	37	43	34	26	38	29	39	36	58	41	27	34	46	38	34
ENSG00000274245.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000197721.16	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000226289.1	0	0	0	0	2	2	0	1	0	0	0	0	1	0	1	0
ENSG00000117335.18	20	24	22	15	11	22	14	19	26	37	23	22	20	29	19	25
ENSG00000234219.1	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0
ENSG00000203709.9	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
ENSG00000076356.6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232537.1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
ENSG00000264831.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000196878.12	2	1	0	1	1	0	1	2	0	4	0	0	0	3	0	0
ENSG00000162757.4	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
ENSG00000117597.17	0	1	0	1	0	0	0	0	0	4	1	0	2	2	0	0
ENSG00000054392.12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200972.1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0
ENSG00000279333.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000226986.4	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0
ENSG00000117625.13	0	0	2	1	1	1	2	1	1	2	0	1	3	0	1	1
ENSG00000082512.14	0	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0
ENSG00000153363.12	7	7	9	5	4	9	1	4	8	5	6	7	1	4	5	4
ENSG00000170385.9	0	3	1	1	1	2	0	1	0	1	1	0	1	1	2	2
ENSG00000227764.1	2	0	4	1	1	0	1	3	0	3	1	1	1	0	1	1
ENSG00000228792.2	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
ENSG00000117650.12	1	1	1	1	3	2	0	2	1	2	0	1	4	2	2	3
ENSG00000123684.12	2	2	2	2	2	5	1	2	1	5	2	4	0	2	5	1
ENSG00000143493.12	0	3	4	0	1	2	1	1	2	2	3	0	1	2	0	1
ENSG00000143476.17	2	4	3	5	1	4	1	4	2	4	5	0	1	2	5	3
ENSG00000229983.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226251.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000066027.11	1	1	2	4	0	1	0	2	1	4	2	0	0	0	1	0
ENSG00000225338.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234915.1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	1
ENSG00000229832.1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
ENSG00000065600.12	0	0	3	1	0	2	0	0	0	1	1	0	0	0	0	0
ENSG00000117691.9	18	20	24	31	15	26	19	16	14	11	20	16	7	21	12	18
ENSG00000260805.2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162772.16	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1
ENSG00000123685.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000117697.14	6	4	4	8	0	4	1	7	3	5	1	5	0	6	5	6
ENSG00000203705.10	2	0	3	4	2	3	3	2	1	4	0	2	2	5	0	3
ENSG00000198468.7	3	1	4	4	0	1	0	1	1	2	1	1	0	2	1	1
ENSG00000162769.12	0	0	1	1	0	1	0	1	0	3	2	1	1	0	1	3
ENSG00000174606.12	0	0	1	3	0	1	3	1	1	7	3	1	0	0	0	1
ENSG00000136643.11	0	0	2	1	1	1	2	0	0	3	0	2	1	0	2	1
ENSG00000143499.13	5	2	4	5	7	9	6	6	5	6	2	7	4	6	7	3
ENSG00000228470.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000152104.11	0	1	0	2	3	0	1	0	0	4	1	0	0	2	0	0
ENSG00000117724.12	12	11	13	8	12	11	10	9	11	26	9	13	3	18	6	8
ENSG00000136636.12	2	2	1	2	3	0	0	1	3	2	2	1	0	2	1	1
ENSG00000042781.12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196482.16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000092978.10	5	0	0	1	3	1	1	1	1	0	0	1	0	2	0	0
ENSG00000162814.10	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ENSG00000228247.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000067533.5	2	4	1	0	5	1	0	1	2	3	5	2	3	7	1	1
ENSG00000143353.11	3	5	5	2	1	2	2	2	1	1	1	0	1	3	0	2
ENSG00000196660.10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000136628.17	1	4	8	2	2	8	4	4	3	10	7	4	4	4	1	9
ENSG00000162813.17	0	2	1	1	0	2	2	2	2	1	3	1	2	0	0	2
ENSG00000067704.9	4	11	9	10	9	9	6	15	4	8	16	7	9	11	11	11
ENSG00000232134.1	3	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0
ENSG00000218283.2	6	6	6	7	4	11	5	7	5	7	4	8	2	6	5	2
ENSG00000213033.4	1	0	0	0	0	1	0	0	0	1	2	0	0	1	0	0
ENSG00000118873.15	2	0	2	0	1	1	0	2	3	3	2	3	2	0	1	1
ENSG00000116141.15	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0
ENSG00000117791.15	2	3	0	0	0	1	0	1	0	1	1	0	0	2	0	1
ENSG00000186205.12	1	6	4	2	2	2	4	2	4	3	3	5	2	4	4	4
ENSG00000136630.12	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ENSG00000257551.1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000234754.1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
ENSG00000143507.17	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
ENSG00000236230.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000225265.1	2	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1
ENSG00000143498.17	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1
ENSG00000154305.16	0	1	1	0	0	0	1	3	0	2	1	2	0	1	0	2
ENSG00000162819.11	2	2	2	4	0	3	1	2	0	5	4	2	1	6	1	2
ENSG00000186063.12	1	0	1	0	2	0	0	1	0	3	0	1	1	0	0	0
ENSG00000197520.10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278610.1	2	7	4	2	4	5	1	6	3	1	5	8	1	5	4	1
ENSG00000154309.8	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0
ENSG00000162909.17	4	0	2	1	2	4	1	1	6	1	2	1	1	3	3	1
ENSG00000143514.16	1	0	0	2	0	0	1	1	0	1	0	2	0	0	0	0
ENSG00000185495.10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
ENSG00000143756.11	0	2	1	0	0	2	1	2	0	2	0	1	0	1	1	0
ENSG00000143753.12	11	6	15	4	8	13	8	11	6	6	10	7	5	9	13	10
ENSG00000232628.5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000237101.1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000143748.17	3	5	4	2	2	6	1	1	5	7	1	0	3	6	4	2
ENSG00000143771.11	23	46	46	51	42	46	33	40	30	34	32	29	37	38	38	31
ENSG00000266618.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000143786.7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ENSG00000162923.14	1	0	1	1	2	0	0	1	0	0	1	1	0	0	1	1
ENSG00000185842.14	3	3	2	1	3	2	5	0	1	2	0	2	3	3	1	3
ENSG00000143815.14	1	1	3	3	4	4	5	2	1	3	3	2	2	5	2	2
ENSG00000282418.1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
ENSG00000234476.1	0	0	1	1	1	0	1	0	1	1	2	0	0	3	1	0
ENSG00000154380.16	1	0	3	2	0	1	1	4	2	4	1	0	1	0	1	2
ENSG00000227496.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000143742.12	32	23	26	27	23	39	18	25	26	29	22	25	16	25	19	23
ENSG00000143819.12	4	3	4	0	0	1	0	2	2	3	2	0	0	2	3	0
ENSG00000242861.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196187.11	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0
ENSG00000255835.1	1	1	1	0	0	0	0	0	0	3	2	0	0	2	2	0
ENSG00000143751.9	0	0	0	1	0	0	1	0	1	0	2	0	0	0	1	0
ENSG00000163041.9	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
ENSG00000272562.1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
ENSG00000225518.2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
ENSG00000182827.8	3	2	2	4	3	2	1	2	5	1	5	0	0	3	3	5
ENSG00000183814.15	1	1	0	1	0	0	0	1	1	0	0	2	0	1	1	0
ENSG00000143799.12	7	12	5	2	6	7	5	5	4	15	7	8	6	5	7	7
ENSG00000143801.16	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0
ENSG00000163050.16	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000143776.18	0	0	2	1	2	2	0	0	1	1	1	0	0	2	1	1
ENSG00000232864.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242757.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000181450.17	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
ENSG00000143740.14	0	2	0	2	1	1	0	1	2	4	1	3	2	0	2	3
ENSG00000081692.12	1	0	2	1	2	3	0	1	2	3	1	1	0	1	1	1
ENSG00000143761.13	3	13	6	9	6	10	7	8	9	15	10	9	9	13	6	6
ENSG00000143793.12	0	1	2	5	3	4	1	1	2	7	3	1	3	4	2	0
ENSG00000162910.18	16	13	13	24	11	20	16	12	14	16	16	17	12	18	21	9
ENSG00000143774.16	27	23	31	28	20	51	22	31	47	22	25	26	19	32	18	36
ENSG00000198835.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000181873.12	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1
ENSG00000154358.19	1	1	0	2	2	0	0	0	0	0	0	2	1	0	0	0
ENSG00000162913.9	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ENSG00000154370.13	0	0	4	0	1	0	0	0	0	1	0	2	0	0	0	0
ENSG00000181218.5	0	0	5	1	0	1	2	1	2	0	0	1	0	3	0	0
ENSG00000168159.10	1	0	1	1	2	1	0	2	1	3	0	2	2	0	0	2
ENSG00000279306.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000116574.5	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000177788.5	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0
ENSG00000168118.11	7	2	2	5	4	1	5	4	2	5	3	1	1	1	2	0
ENSG00000213029.3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
