Variable	GG_1ngS1_1	GG_1ngS1_2	GG_1ngS1_3	GG_1ngS1_4	GG_1ngS1_5	GG_1ngS1_6	GG_1ngS1_7	GG_1ngS1_8	GG_1ngS2_1	GG_1ngS2_2	GG_1ngS2_3	GG_1ngS2_4	GG_1ngS2_5	GG_1ngS2_6	GG_1ngS2_7	GG_1ngS2_8
ENSG00000198912.10	2	0	2	1	1	0	1	0	0	1	1	3	2	0	1	1
ENSG00000069424.14	1	1	1	2	0	3	1	2	1	3	0	2	2	0	0	0
ENSG00000131697.17	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
ENSG00000158286.12	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0
ENSG00000226944.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1
ENSG00000116251.9	10	16	14	14	10	15	10	7	12	8	11	5	8	11	12	10
ENSG00000116237.15	2	5	3	5	1	1	1	2	0	1	3	1	6	2	2	3
ENSG00000225077.2	1	1	1	1	0	0	1	1	1	0	0	0	1	0	0	2
ENSG00000271746.1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ENSG00000097021.19	0	1	1	2	3	0	1	0	1	2	0	1	0	0	1	1
ENSG00000069812.11	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171680.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000162408.10	0	0	0	1	1	0	2	2	1	2	0	0	1	0	0	1
ENSG00000204859.11	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0
ENSG00000116273.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000162413.16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000041988.15	1	0	1	1	1	2	0	2	0	1	1	0	0	0	1	0
ENSG00000007923.15	1	2	0	1	0	1	0	1	0	2	0	2	0	1	1	0
ENSG00000237436.1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1
ENSG00000171735.18	25	30	18	20	22	19	19	19	11	19	16	15	18	23	16	22
ENSG00000237402.1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
ENSG00000049245.12	1	2	0	2	3	3	5	3	1	5	3	1	0	1	2	3
ENSG00000049246.14	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ENSG00000116288.12	36	60	51	45	46	61	48	53	41	51	52	41	28	54	43	41
ENSG00000116285.12	0	0	0	0	0	1	0	0	1	1	2	0	0	0	1	0
ENSG00000229305.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000142599.17	4	3	1	0	2	5	3	1	3	2	0	2	3	4	1	1
ENSG00000229716.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000274258.1	0	2	1	4	2	0	0	2	1	0	0	1	1	2	2	2
ENSG00000236269.1	0	1	0	0	1	1	0	3	2	1	0	2	0	1	1	2
ENSG00000230679.1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
ENSG00000074800.13	69	82	109	102	86	94	78	81	97	121	106	90	68	110	79	85
ENSG00000142583.17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000180758.11	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1
ENSG00000234546.2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000049239.12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000171621.13	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0
ENSG00000171612.6	2	0	2	2	1	1	0	1	0	2	1	1	0	0	0	0
ENSG00000188807.12	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0
ENSG00000171603.16	2	0	2	3	0	1	1	0	3	3	3	0	1	2	1	0
ENSG00000178585.14	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	2
ENSG00000162441.11	2	5	3	4	3	2	3	3	5	3	5	3	4	2	1	3
ENSG00000173614.13	1	0	0	1	0	1	2	2	1	1	1	1	0	1	0	2
ENSG00000241326.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000130939.18	0	0	2	0	2	3	1	3	0	2	0	0	1	1	1	1
ENSG00000054523.16	1	1	1	1	0	1	0	0	0	1	0	1	0	2	1	0
